0-2023_11_12
0:59:35 | P | PROGRAM_ON | martin
1:3:43 | P | PROGRAM_ON | martin
1:5:33 | P | PROGRAM_ON | martin
1:11:9 | P | PROGRAM_OFF | martin
1:11:20 | P | PROGRAM_ON | martin
1:14:6 | P | PROGRAM_ON | martin
1:14:30 | P | PROGRAM_ON | martin
1:14:34 | P | PROGRAM_OFF | martin
1:14:39 | P | PROGRAM_ON | martin
1:16:14 | P | PROGRAM_ON | mar
1:31:53 | P | PROGRAM_ON | m
1:32:50 | P | PROGRAM_ON | mar
1:33:26 | P | PROGRAM_OFF | mar
1:33:30 | P | PROGRAM_ON | martin
1:33:53 | P | PROGRAM_OFF | martin
1:37:40 | P | PROGRAM_ON | martin
1:45:39 | P | PROGRAM_OFF | martin
1:45:44 | P | PROGRAM_ON | mar
1:46:2 | P | PROGRAM_OFF | mar
1:47:55 | P | PROGRAM_ON | martin
1:49:52 | P | PROGRAM_OFF | martin
1:49:57 | P | PROGRAM_ON | martin
1:52:17 | P | PROGRAM_OFF | martin
1:52:23 | P | PROGRAM_ON | martin
1:53:44 | P | PROGRAM_OFF | martin
1:58:29 | P | PROGRAM_ON | martin
2:4:53 | P | PROGRAM_OFF | martin
2:4:59 | P | PROGRAM_ON | martin
2:6:54 | P | PROGRAM_OFF | martin
2:6:59 | P | PROGRAM_ON | mar
2:7:28 | P | PROGRAM_ON | martin
2:8:42 | P | PROGRAM_OFF | martin
2:8:48 | P | PROGRAM_ON | martin
2:11:17 | P | PROGRAM_OFF | martin
11:0:15 | P | PROGRAM_ON | martin
11:1:12 | P | PROGRAM_OFF | martin
11:1:28 | P | PROGRAM_ON | martin
11:18:30 | P | PROGRAM_OFF | martin
11:19:43 | P | PROGRAM_ON | martin
11:22:18 | P | PROGRAM_ON | martin
11:24:3 | P | PROGRAM_ON | martin
11:24:24 | P | PROGRAM_ON | martin
11:26:42 | P | PROGRAM_ON | Martin
11:44:41 | P | PROGRAM_ON | Martin
11:46:14 | P | PROGRAM_ON | Martin
11:46:45 | P | PROGRAM_ON | gui
11:47:41 | P | PROGRAM_ON | martin
11:50:15 | P | PROGRAM_OFF | martin
11:52:33 | P | PROGRAM_ON | ADMIN
11:57:43 | P | PROGRAM_OFF | ADMIN
11:58:3 | P | PROGRAM_ON | Martin
12:7:59 | P | PROGRAM_ON | martin
